,Exemplar,Cluster
108,T-Shirt Green L,"SWSportStre45ml, Sweet Ideas 1, T-Shirt Black L, T-Shirt Green L"
109,Jack Rabbit White Zinfandel,"Canyon Road White Zinfandel, Jack Rabbit - Large Glass , Jack Rabbit White Zinfandel"
110,Walkers Crisps,"CRISP Walkers Max C&O, Emilys Crisps, Grab Bag Crisps £1.10, WalkFrencfriesWS, Walkers Crisps, Water- Can Spark"
111,Sweet Ideas Classic Giant Strawberries,"Sweet Ideas Classic Giant Strawberries, Sweet Ideas Classic Strawberry Bon Bons, Sweet Ideas Classic Vanilla Fudge"
112,Hong Kong Vegetables Fried Rice,Hong Kong Vegetables Fried Rice
113,One World Fruit Flapjack,"One World Fairtrade Fruit Flapjacks, One World Fruit Flapjack, Pie/Hot/Cold Drink + Snack"
114,Mars Bar,"BULMERS RED BTL, Bacon Bap, Bakes Beans (dinnerH), Bar Snack, Cans (H), Egg Bap, HM cake 1.40, Latte -Small, M&Ms plain , Macaroni Pie, MagAlmoIC, MagDblCarIC, Main Part, Manchester Tart, Mars, Mars Bar, Milky Bar, Mini Jam Jar, Moretti BT, Nakd Bar, PNCurry 90g, Pepsi Max, Small Bap NOC, YO - YO , Zest Bar"
115,Additional Coleslaw,"Additional Coleslaw, Additional Small Topping, Deliciousideas Love Bar"
116,Sandwich £1.70,"*Add on 3.00, Baguette pizza (£1.00), Deli sandwich £3.25, Egg Bap £1.10, SOHO £1.60, SPECIALITY TEAS £1.60, Sandwich D, Sandwich Thon, Sandwich £1.70, Sandwich £1.80, Seed/fruit boxes £1.40, Shanklish cheese, TEQUILA £2.20, Urban Eat - 2.75, real wrap C £2.50"
117,Chicken & Bacon on White ,"Cheese & Bacon Turnover, Chicken & Bacon on White , Chicken & Sweetcorn Baguette, Roast Chicken & Stuffing on White, Soho Chicken & Bacon Sandwich"
118,Hunters Lentil Protein chips 25g,Hunters Lentil Protein chips 25g
119,Founders Stone Chardonnay Btl,Founders Stone Chardonnay Btl
120,Sunpride Cranberry Juice Half,Sunpride Cranberry Juice Half
121,75CL CONDE VALDEMAR RIOJA,75CL CONDE VALDEMAR RIOJA
122,"Double Sausage, Egg, Cheese Muffin","Double Sausage, Egg, Cheese Muffin"
123,Whitley Neil Brazillian Lime 25ml,Whitley Neil Brazillian Lime 25ml
