,Exemplar,Cluster
63,Hot Chocolate,"Calves Hooves, Capp / Latte (Tall), Chocolate Profetroll, Coca Cola Diet, Dash Coca-Cola , Flat White 8oz, Hot Chocolate, Hot Chocolate Large, Lacnor Chocolate, Regular Hot Chocolate, TO Hawt Chic, Ultimate Hot Chocolate"
64,Wallet,"Faulty, Jelly, Meatballs, Waffle, Wallet"
65,Baked Beans,"Baked Beans, Baked Beans , Baked beans , Beans, Beef Lasagne, Blank Cards, Can Coke Red"
66,Main Meal 1,"Falafel Pizza 12"" (IH), Lafinca Malbec 187ml, Main 3, Main Meal 1, Main Meal A, Main meal 10.25, Meal Deal , Meal £1.00, Mixed Melon , ZZZZFish Main"
67,Skimmed Milk 320ml,"Coke 330ml, GH Semi Skimmed Milk 200ml, Skimmed Milk, Skimmed Milk 320ml, Soya Milk 310ml, meal deal 3.20"
68,Baguette,"Bagel, Baguette, Baguettes, Brave, Burger, W Katsu Base"
69,Cheese Ploughmans Baguette,"27. Moet Magnum, BTL Pol Roger Champagne Rose, Cheese Ploughmans Baguette, Complete Adult Beef 454g, DoveMenCleanAP75ml, Eat Real Hummus Chips Tomato & Basil, NOC Cheese & Tomato Flan, Ploughmans Pot "
70,Cafe Central 16oz Americano,"16oz Decaf Americano, 1800 Anejo Coconut Tequilla 50ml, Americano 12oz, Barket Movenpick Cold Brew Coffee 165ml, Cafe Central 16oz Americano, Coke Zero 16oz , Coteaux Aix-en-Provence 175ml"
71,Caprese Croissant ,"Bacon Caesar Jacket, Berri Estates, Chardonnay, Can Coke Diet/ Fanta/ Sprite, Caprese Croissant , Cointreau, Confectinary 30p, Cornetto, Cornetto Classico, Cornish Steak, Corona, Costa Brownie, Croissant, Diet Pepsi Can, Eat Real Crisps, Espresso Martini, Frankenstein Fizz , Gordons pink + bottle , Portion of Chips, Radnor Carton, Real Crisp Salt & Vinegar, Toffee Crispy, Vegetarian Option, cornish pastie"
72,Dairy Milk Caramel,"Cadbury Dairy Milk Caramel 45g, Cereal & Milk, Dairy Milk, Dairy Milk Caramel, Energy Drink, Walkers Marmite Crisps"
73,Snack,"Snack, Snack!"
74,Ham & Mature Cheddar Cheese,"3 Egg Cheese & Ham, Cheese & Ham Crepe, Ham & Cheddar Toastie No Mayo, Ham & Mature Cheddar Cheese, Hot Dessert With Custard, House Crumble & Custard, Muhammara, Muscadet 175ml, Soho Ham Cheddar & Mustard Mayo Baguette"
75,F/T orange tonic,"Beef Tapa Fr.Egg Fr.Rice, CD FT juice Orange, Extra Jacket Topping, F/T orange tonic, FT Light Tonic, FT Tonic Water, Fever-Tree Aromatic 220ml, Fevertree Tonic, French Toast with sugar, Haribo Tangfastic 90g, Lindt Mini Teddy Bear 10g, Taittinger"
76,SPRITE CAN,"75CL WHISPERING ANGEL, COORS PINT, D FRUIT PINT, FANTA CAN, JAM PORTION, OASIS PET , REMY MARTIN VSOP , S BOW PINT, SPRITE CAN, STRAWBERRIES & CREAM, TERRACE"
77,Gluten Free Peroni ,"Costa Gluten Free Brownie, Filter Coffee, Freshers Hoodie Purple M, Fruit Pot, Gluten Free, Gluten Free Peroni , Gluten Free Roll Ham, Mint & Gum, PRE ORDER Giotto Merlot, Panini Poulet Curry"
78,Starbucks Doppio Espresso ,"Deliciousideas Fruity Flapjack, Empire Biscuit, Jug/ carafe Deposit, Ok Serve: EcoCup Deposit, Pumpkin Katsu Dipper, Sambuca Raspberry , Skittles Sours , Starbucks Doppio Espresso , Starbucks Espresso extra  Shot, Steakhouse Chips"
79,LARGE LEMONADE,"LARGE LEMONADE, LEMONADE MIXER, MEAL DEAL £2.24, SOHO EGG SALAD, VENOM, ZZ#NAME?"
80,Diet Coke,"Coke Reg, Cookies, Diet Coke, Diet Coke , Diet Coke Can, Diet Coke Dash, Diet Coke Reg, Diet Coke cans, Doritos Cheese, PET Diet Coke (MP)"
81,5% Discount,"40% Discount, 5% Discount, Deposit Function"
82,Gratin Potatoes,"1/2 Pint of Guinness, 32.Dashwood Pinot Gris, Beavertown Bones Pint, Bottega Pinot Grigio Bottle , Cawston Press Ginger Beer, Desert Pot, East Coast IPA - Pint, Gordons Pink Gin, Gratin Potatoes, Guinness Pint HAPPY, Live Pasta, Moretti Half Pint , NW B07 Pannier, PG Tips Tea, Passion Fruit - J2O, Pie/ Pastry £1.35, Pinot Grigio  125ml Gls, Pint of Tennnets Lager, Polo spearmint, Roast Gammon, Tennent's Lager Pint, W Fries Portion"
83,Pesto Pasta Salad,"Aloo & Palak Kaday, Feta Salad, Jacket Potato & Side Salad , Jelly Pot, Meat Pasta Pot, Nutella Pot, Pesto Pasta Salad, Poppy Seed, Potted Smoked Salmon, Stella Half"
84,Fanta Orange,"Fanta Orange, Fanta Orange Btl, Irn Bru Sugar Free Can, Large Fanta, Omelette Filling, Open Beverage, Orange"
85,Corkys Mango 25ml,"2x Mars , Corkys Cherry 50ml, Corkys Mango 25ml, Corkys Mango Sgl, MagAlmoIC, Magners Cider 500ml, Monkey Shoulder 25ml, Morgan's Dark Rum, Tanqueray No10 25ML"
86,Sauce Portion ,"Coconut Water, La Invicta Honduran , Lancashire Peanuts, Pie & Soft Drink, Piece of fruit, Pork Scratching, Puttanesca Pasta (v), Sauce Portion , Scone & Butter & Jam, Sprite No Sugar, Staro Pint, Tuna Portion Pot, Yorkie Standard"
87,Cristallina Cerise -Yoghurt ,"Chilli Nachos - Garden Gourmet (Vg), Cristallina Cerise -Yoghurt , Cristallina Nature - Yoghurt, Cristallina Vanille - Yoghurt , Hunter Ridges Sweet Chilli 40g, Magners Irish Cider, Peach & Passion Fruit Yogurt, Pop Chips sea salt & vinegar, Porridge Toppings - Banana Chips, Self Service Yoghurt, Upgrade Bourgogne Rouge Hautes-Cotes de Nuit, Wheat Crunchies  grab bag, ZZZ Metcalfes Rice Cake  - Yogurt"
88,WHITLEY BLOOD ORANGE 25ML,"2.15 SANDWICH, BATH TOWEL, GLENFIDDICH 12 YEAR OLD , HULL BERRY GIN, KLEINDAL CHARDONNAY 125ml, WHITLEY BLOOD ORANGE 25ML, WHITLEY RHUBARB 25ML"
89,Caramel Shortbread,"Bombay Sapphire, Caramel Shortbread, Caramel Shortbread , Cardiff Met Polo Shirt, Side Ciabatta, Southern Comfort, Strathmore - Still 500ml, Strawberry, chocolate bar £1.00"
90,Chicken Wrap,"BBQ Chick Wrap, Chicken Korma, Chicken Liver Parfait, Chicken Tikka, Chicken Wrap, Japanese Curry & Chicken, Lancashire Crisps, Panini - Chicken Arabiatta, Spicy Chk Slice, Tahi Fried Rice Chicken, Walkers 45g chicken"
91,Cornellana Chardonnay,"50. Catena Chardonnay, Aloo Chana, Blass Chardonnay, Carling Shandy, Cornellana Chardonnay, Corona, Curry Meal deal, NW B20 Bogle Chard"
92,Ruinart Blanc Bottle,"B23 Rioja, Barquet Movenpick Vanilla Dream 165ml, Blackcurrant Cordial, Burts Lentil crisps, Buttermilk Stack, Dinasta Vivanco Rioja Crianza  Btl, Eco Cup Half Returned, Fanta Fruit Btl, Half Red Bull, Hot Meal - Beef Jury, House Prosecco - Bottle, Hyke Botanical Rum 50ml, Jack Rabbit Sauv - Bottle (Small), Kit Kat / Bounty bar, Lion Bar, Little Beauty Riesling, Menu B-Traditional, Red Bull Zero, Ribena Blackcurrant BTL, Roundel Pin Badge , Rubicon can, Ruinart Blanc Bottle, Tikka Panner Roll"
93,Archers 25ml,"Archers  25ML, Archers (50ml), Archers 25ml, Becks Blue (Alc. Free), Bells Whisky 25ml, LONourish250ml, Torrontes 125ml"
